topic	initial_request	binary_label	user_information_need
Activism	What are the most effective online strategies for organizing grassroots activism?	0	Discover effective online strategies for organizing grassroots activism.
Activism	How can people organize online?	1	Seeking ways to organize but unclear if about activism or general organization.
Activism	Who are some influential figures in environmental activism?	0	Identify influential personalities in environmental activism.
Activism	Who should I look up in activism?	1	Looking for notable figures but not clear on domain or criteria.
Activism	How do I start a local activism group focused on social justice issues?	0	Learn steps to start a local activism group for social justice.
Activism	How can I get involved in my area?	1	Seeking involvement locally but purpose or cause not specified.
Activism	What legal protections exist for protesters in the United States?	0	Find out about legal protections for protesters in the US.
Activism	What are the rules for activism?	1	Looking for rules, but unclear if legal, ethical, or organizational.
Activism	What social media platforms are most effective for activism campaigns in 2024?	0	Determine the best social media platforms for activism campaigns in 2024.
Activism	Where should activism happen?	1	Seeking appropriate venues for activism, but query is nonspecific.
Aging	What are the most common physical signs of aging in adults?	0	Learn about typical physical changes that occur with aging.
Aging	What does aging look like?	1	Seeking information about aging but the focus is unclear.
Aging	How does regular exercise impact the aging process?	0	Understand the effects of exercise on aging.
Aging	Is exercise important for aging?	1	Asking about the relationship between exercise and aging, but the intent is ambiguous.
Aging	What dietary changes are recommended to promote healthy aging?	0	Find out which dietary habits support health as people age.
Aging	Should I eat differently when aging?	1	Wondering about diet and aging but question is vague.
Aging	Which diseases are more prevalent as people age?	0	Learn which illnesses become more common with aging.
Aging	What illnesses happen when you age?	1	Seeking knowledge about illnesses and aging but lacks specificity.
Aging	What are the psychological effects of aging on mental health?	0	Understand how aging influences psychological well-being.
Aging	Does aging affect the mind?	1	Looking for information about aging and mental health but the query is unclear.
Allergies	What are the common symptoms of seasonal allergies?	0	Learn about typical symptoms associated with seasonal allergies.
Allergies	What symptoms do allergies cause?	1	Seeking information on allergy symptoms but not specifying type.
Allergies	Which foods are most likely to cause allergic reactions?	0	Identify foods commonly responsible for triggering allergies.
Allergies	What foods should I avoid?	1	Looking for food avoidance advice, but context for allergies is vague.
Allergies	How are allergies diagnosed by doctors?	0	Understand medical procedures used to diagnose allergies.
Allergies	How do they find out if you have allergies?	1	Want to know about allergy identification, but details are unclear.
Allergies	What treatments are available for pet allergies?	0	Find out medical and practical treatments for pet allergies.
Allergies	How can I deal with them?	1	Seeking advice for managing allergies, but unspecified type or method.
Allergies	Can allergies develop later in life?	0	Determine if people can develop allergies as adults.
Allergies	Is it possible to get them when older?	1	Looking to know if something (not specified) can develop with age.
Appointments	How can I schedule a doctor's appointment online?	0	Request guidance on booking a medical appointment digitally.
Appointments	How do I set something up?	1	Seeking to arrange an appointment but unclear about the type or method.
Appointments	What is your cancellation policy for appointments?	0	Inquire about the terms for cancelling scheduled appointments.
Appointments	Can I cancel?	1	Intend to cancel but unclear if referring to an appointment or something else.
Appointments	At what times are evening appointments available next week?	0	Obtain available appointment slots during evenings for the upcoming week.
Appointments	When can I come in?	1	Requesting times but not clear if for appointments or walk-ins, or which days.
Appointments	How do I reschedule my dentist's appointment to next Friday?	0	Seek instructions to change the date of a dental appointment to a specific day.
Appointments	Can I change it?	1	Want to alter something (possibly an appointment) but vague about details.
Appointments	What information do I need to bring to my appointment?	0	Find out necessary documents or items required for an upcoming appointment.
Appointments	What do I need?	1	Asks for required items, but context is unclear regarding what for.
Art	What techniques did Leonardo da Vinci use in his paintings?	0	Learn about the artistic techniques employed by Leonardo da Vinci.
Art	How did artists like Da Vinci do their work?	1	Seeking information about artists' methods, but not specifying which ones or what kind of work.
Art	What are the main movements in modern art?	0	Find out about key movements that define modern art.
Art	What kinds of art are there?	1	Looking for types of art, but it's unclear if movements, styles, or forms are meant.
Art	How can I start drawing as a beginner?	0	Find step-by-step advice for someone new to drawing.
Art	How do people begin with art?	1	Seeking guidance on starting art, but it's unclear which medium or approach.
Art	Where can I see famous impressionist paintings in Paris?	0	Locate venues in Paris to view impressionist art.
Art	Where can I find art in the city?	1	Looking for places to find art, but not specifying type or location.
Art	How does art influence culture and society?	0	Understand the impact of art on cultural and societal development.
Art	What role does art play?	1	Seeking information on the role of art, but unspecified in what context.
Banking	How do I open a savings account at Wells Fargo?	0	Get detailed steps to open a savings account at Wells Fargo.
Banking	How do I set up an account?	1	Looking to open an account but the type and institution are unclear.
Banking	What is the current interest rate for personal loans at Chase?	0	Learn the current interest rates for personal loans at Chase.
Banking	What are the interest rates now?	1	Seeking information about interest rates, but the type and purpose are unspecified.
Banking	How can I transfer money from my checking to my savings online?	0	Find out how to transfer money between specific accounts online.
Banking	How do I move money around?	1	Wants information on transferring funds but does not specify accounts or methods.
Banking	What documents are required to apply for a mortgage with Bank of America?	0	Get the list of required documents for a mortgage application at Bank of America.
Banking	What paperwork do I need?	1	Looking for needed documents, but for what service or purpose is unclear.
Banking	How do I report a lost debit card to my bank?	0	Learn the process for reporting a lost debit card to a bank.
Banking	My card is gone, what should I do?	1	Need advice after losing a card, but it's unclear which card or action is needed.
Budgeting	How can I create a monthly budget using a spreadsheet?	0	Learn how to set up a monthly budget with a spreadsheet tool.
Budgeting	How do I start?	1	Seeking guidance on beginning something but intent is unclear.
Budgeting	What are effective strategies to reduce overspending in a budget?	0	Find ways to minimize overspending when budgeting.
Budgeting	How can I fix my finances?	1	Looking for solutions to financial problems but intent is not specific.
Budgeting	Which budgeting apps are best for tracking expenses?	0	Identify top budgeting applications for expense tracking.
Budgeting	Are there any good tools?	1	Seeking recommendations for tools, but type and use are unclear.
Budgeting	How does the 50/30/20 budgeting rule work?	0	Understand the mechanics of the 50/30/20 budgeting method.
Budgeting	What is that budget rule everyone talks about?	1	Looking for information about a popular budgeting guideline, but it's not specified.
Budgeting	What are common budgeting mistakes to avoid?	0	Learn about frequent budgeting errors and how to avoid them.
Budgeting	Why doesn’t budgeting work sometimes?	1	Seeking reasons for budgeting failure, but not specifying which aspect.
Bureaucracy	What are the main characteristics of bureaucracy as defined by Max Weber?	0	Understand the defining features of bureaucracy according to a key theorist.
Bureaucracy	What is bureaucracy?	1	Seeking a general understanding of bureaucracy but lacks focus or detail.
Bureaucracy	How does bureaucracy affect decision-making in government organizations?	0	Learn about the impact of bureaucracy on governmental decision processes.
Bureaucracy	Is bureaucracy a problem in organizations?	1	Looking for information about bureaucracy's role but the context and specifics are unclear.
Bureaucracy	What are the advantages and disadvantages of bureaucratic systems?	0	Identify both benefits and drawbacks of bureaucracy.
Bureaucracy	Is bureaucracy good or bad?	1	Seeking an evaluation of bureaucracy but the criteria or aspects are not specified.
Bureaucracy	How can bureaucratic inefficiency be reduced in large companies?	0	Find strategies to decrease inefficiency caused by bureaucracy in corporations.
Bureaucracy	How do you deal with bureaucracy?	1	Wanting advice on handling bureaucracy but lacks context or specificity.
Bureaucracy	What are some historical examples of bureaucracy influencing government policy?	0	Discover specific historical cases where bureaucracy shaped policy.
Bureaucracy	Has bureaucracy changed over time?	1	Seeking information on changes to bureaucracy but the context and direction are unclear.
Celebrations	What are some popular ways to celebrate birthdays around the world?	0	Learn about global birthday celebration traditions.
Celebrations	How do people celebrate special days?	1	Seeking information on celebration practices but not specifying the event.
Celebrations	What are environmentally friendly ideas for celebrating weddings?	0	Find sustainable celebration ideas for weddings.
Celebrations	How can I celebrate in an eco-friendly way?	1	Looking for green celebration options but not specifying the occasion.
Celebrations	What gift-giving customs are followed during major celebrations in Japan?	0	Understand traditional gift-giving practices in Japanese celebrations.
Celebrations	What gifts do people give at events?	1	Seeking information on gifts during celebrations but not specifying culture or event.
Celebrations	What are the key differences between religious and secular celebrations?	0	Learn to distinguish between religious and non-religious celebrations.
Celebrations	How do celebrations differ?	1	Looking for differences in celebrations but not clarifying which aspects or types.
Celebrations	How can I plan a surprise celebration for a friend?	0	Get steps and tips for organizing a surprise celebration.
Celebrations	What should I do to organize something fun?	1	Seeking advice on planning a fun event but not specifying it is a celebration or giving details.
Civics	What are the responsibilities of a citizen in a democratic society?	0	Learn about citizen responsibilities in a democracy.
Civics	What are people supposed to do?	1	Seeking information about expected actions, but context is unclear.
Civics	How does a bill become a law in the United States?	0	Understand the legislative process in the U.S.
Civics	How do rules get made?	1	Looking for information on rule creation, but it's not specific to civics or government.
Civics	What rights are protected under the First Amendment?	0	Find out specifically which rights the First Amendment guarantees.
Civics	What rights do people have?	1	Seeking to know about rights, but it's not clear which ones or in what context.
Civics	What is the purpose of checks and balances in government?	0	Discover why the system of checks and balances exists.
Civics	Why is government set up like this?	1	Looking for the reasons for government structure, but it's unspecified.
Civics	Name three ways citizens can participate in government.	0	Identify concrete forms of civic participation.
Civics	How can someone be involved?	1	Seeking ways to be involved, but it's unclear in what context.
Cleaning	What is the most effective method to remove red wine stains from a white carpet?	0	Learn how to clean red wine stains from a white carpet.
Cleaning	How do I get rid of stains?	1	Looking for stain removal techniques, but type and surface are unspecified.
Cleaning	How often should I disinfect kitchen countertops to maintain hygiene?	0	Find out recommended frequency for disinfecting kitchen countertops.
Cleaning	When should I clean things in the kitchen?	1	Seeking guidance on kitchen cleaning timing but not specifying what or how.
Cleaning	What supplies are needed for cleaning hardwood floors safely?	0	Get a list of appropriate cleaning supplies for hardwood floors.
Cleaning	What should I use to clean floors?	1	Looking for floor cleaning products, but floor type is unclear.
Cleaning	How can I reduce dust buildup in my apartment?	0	Discover methods to minimize dust accumulation in an apartment.
Cleaning	How do I deal with dust?	1	Seeking dust management advice but context and location are vague.
Cleaning	What are the steps to clean an oven thoroughly?	0	Learn the step-by-step process for cleaning an oven.
Cleaning	How do I clean appliances?	1	Looking for ways to clean appliances, but appliance type is not specified.
Clinic	What are the clinic hours and days of operation?	0	Find out the specific opening and closing times of the clinic.
Clinic	When is the clinic open?	1	Seeking operational hours, but question is vague about which days or times.
Clinic	How can I schedule an appointment at the clinic?	0	Learn the appointment scheduling procedure for the clinic.
Clinic	Can I see someone at the clinic?	1	Looking to engage with the clinic but not specifying purpose or process.
Clinic	What types of medical services does the clinic offer?	0	Identify the specific medical services provided by the clinic.
Clinic	What do they do at the clinic?	1	Looking for information about clinic activities, but the request is not specific.
Clinic	Where is the clinic located?	0	Find out the exact physical address of the clinic.
Clinic	How do I get to the clinic?	1	Seeking location or directions but wording is unclear.
Clinic	Does the clinic accept my health insurance plan?	0	Check if the clinic recognizes a specific health insurance.
Clinic	Is my insurance okay at the clinic?	1	Looking for insurance compatibility but the query is imprecise.
Clothing	What are the most popular clothing trends for summer 2024?	0	Discover current seasonal fashion trends in clothing.
Clothing	What are the trends right now?	1	Looking for current trends, but it's unclear in which area.
Clothing	How do I wash silk clothing properly?	0	Get specific instructions on caring for silk garments.
Clothing	How should I clean things?	1	Seeking cleaning advice, but for what items is unspecified.
