topic	initial_request	binary_label	user_information_need
Activism	What are the key organizations involved in environmental activism?	0.0	Identify environmental activist groups.
Activism	What is the history of the women's suffrage movement?	0.0	Learn about the historical background of a specific activism movement.
Activism	Where can I find information about protesting peacefully?	0.0	Find resources on non-violent protest methods.
Activism	What are the legal consequences of civil disobedience?	0.0	Understand the legal ramifications of a specific activist tactic.
Activism	What is the role of social media in modern activism?	0.0	Explore the impact of social media on activist movements.
Activism	How can I get involved in activism?	1.0	General inquiry about participating in activism.
Activism	What about women's rights history?	1.0	Vague inquiry about women's rights history, potentially including activism.
Activism	How do people make change?	1.0	Broad question about social change, potentially through activism.
Activism	What happens if you get arrested protesting?	1.0	Inquiry about arrest during protests, lacking specifics.
Activism	How do activists use the internet?	1.0	Broad question about internet use by activists, lacking focus.
Aging	What are the common physical changes associated with aging?	0.0	Understand physiological changes during aging.
Aging	What is the average lifespan in Japan?	0.0	Find statistical data on lifespan in a specific country.
Aging	What are effective strategies for preventing age-related cognitive decline?	0.0	Learn about preventing cognitive decline.
Aging	What are the financial implications of retiring at age 65?	0.0	Understand financial planning for retirement.
Aging	What are the signs of elder abuse and how to report it?	0.0	Learn about identifying and reporting elder abuse.
Aging	What happens as you get older?	1.0	General inquiry about aging with unclear focus.
Aging	How long do people live?	1.0	Broad question about lifespan, lacking specificity.
Aging	How can I keep my brain young?	1.0	Vague inquiry about maintaining cognitive function.
Aging	What about retirement?	1.0	Broad question about retirement, lacking specifics.
Aging	How can I help older people?	1.0	General inquiry about assisting older adults, unclear focus.
Allergies	What are the symptoms of a peanut allergy?	0.0	Identify allergy symptoms
Allergies	How is a dust mite allergy diagnosed?	0.0	Understand allergy diagnosis methods
Allergies	What are the best antihistamines for seasonal allergies?	0.0	Find medication for allergy relief
Allergies	Can allergies cause a rash?	0.0	Understand allergy symptoms - skin reactions
Allergies	What is the difference between a food intolerance and a food allergy?	0.0	Understand the distinction between allergy and intolerance
Allergies	Do I have allergies?	1.0	General inquiry about allergies, unclear what is prompting the question
Allergies	What’s wrong with me?	1.0	Vague health concern, could be allergies or something else
Allergies	I feel unwell sometimes	1.0	Unclear health issue, potentially allergies
Allergies	What happens when you’re allergic?	1.0	Broad question about allergies, lacking specific focus
Allergies	I have a reaction to food	1.0	Vague statement about food reaction, unclear if it's allergy or intolerance
Appointments	Schedule an appointment with Dr. Smith for next Tuesday at 2 PM	0.0	Schedule a specific appointment.
Appointments	What is Dr. Lee’s earliest availability this week?	0.0	Find available appointment times with a specific doctor.
Appointments	Reschedule my appointment for Friday morning	0.0	Modify an existing appointment.
Appointments	Cancel my appointment with the dentist	0.0	Terminate a scheduled appointment.
Appointments	What appointments do I have next week?	0.0	Retrieve a list of upcoming appointments.
Appointments	Book a doctor's visit	1.0	Requesting an appointment, details unspecified.
Appointments	Can I see a doctor sometime?	1.0	Vague request for a doctor's appointment.
Appointments	I need to change something with my appointment	1.0	Request to alter an appointment, details missing.
Appointments	I have to cancel something	1.0	Vague request to cancel something, potentially an appointment.
Appointments	Do I have anything scheduled?	1.0	Inquire about scheduled events, unspecified type.
Art	What is the historical context of the Renaissance period?	0.0	Understand the background of Renaissance art.
Art	Where can I find Impressionist paintings online?	0.0	Locate online resources for Impressionist art.
Art	How do I restore a damaged oil painting?	0.0	Learn the process of oil painting restoration.
Art	What are the key characteristics of Cubism?	0.0	Understand the defining features of Cubism.
Art	"Who is the artist behind ""The Starry Night""?"	0.0	Identify the creator of a specific artwork.
Art	Tell me about art.	1.0	General inquiry about art with no specific focus.
Art	Show me some art.	1.0	Vague request to view art, lacking specifics.
Art	Can you fix my painting?	1.0	Seeking help with art restoration, unclear if it's a request for service or information.
Art	What is art about?	1.0	Broad philosophical question about the purpose of art.
Art	What's a famous painting?	1.0	Seeking information about famous paintings, but lacks specificity.
Banking	What is the current interest rate for a savings account?	0.0	Check current savings account interest rates.
Banking	How do I open a checking account online?	0.0	Learn the process of opening a checking account online.
Banking	What are the fees associated with using an ATM?	0.0	Understand ATM fee structure.
Banking	How can I report a lost or stolen credit card?	0.0	Learn the procedure for reporting a lost/stolen card.
Banking	What are the requirements for a small business loan?	0.0	Understand loan requirements for small businesses.
Banking	What about banking rates?	1.0	General inquiry about banking rates, unclear what type.
Banking	Can I open an account?	1.0	Vague inquiry about account opening, lacking specifics.
Banking	What do I pay to use an ATM?	1.0	Inquiry about ATM fees, imprecise.
Banking	My card is missing, what now?	1.0	Reporting a card issue, but lacking detail.
Banking	Can businesses get loans?	1.0	Inquiry about business loans, lacking specifics.
Budgeting	How can I create a monthly budget?	0.0	Learn the steps for creating a monthly budget.
Budgeting	What is the 50/30/20 budgeting rule?	0.0	Understand a specific budgeting method.
Budgeting	What are the best budgeting apps for beginners?	0.0	Find suitable budgeting applications for new users.
Budgeting	How can I budget for irregular income?	0.0	Learn budgeting strategies for fluctuating income.
Budgeting	What is zero-based budgeting?	0.0	Understand the concept of zero-based budgeting.
Budgeting	I need to manage my money better	1.0	General desire for financial improvement, unclear specifics.
Budgeting	How do I spend less?	1.0	Vague request for spending reduction strategies.
Budgeting	What apps can help with finances?	1.0	Seeking financial apps, but the specific need is unclear.
Budgeting	How do I deal with money when it's not consistent?	1.0	Seeking advice for inconsistent income, lacking specifics.
Budgeting	What's a good way to budget?	1.0	General request for budgeting advice, lacking specifics.
Bureaucracy	What are the key characteristics of a bureaucratic system?	0.0	Understand the defining features of bureaucracy.
