topic	initial_request	binary_label	user_information_need
Aging	What are the biological causes of aging?	0	Understand the physiological reasons behind aging.
Aging	What are ways to prevent or slow aging?	0	Learn about methods to delay aging.
Aging	What are the risk factors for age-related diseases?	0	Find out about the conditions that can develop with aging.
Aging	How does aging affect cognitive function?	0	Learn about the impact of aging on the brain.
Aging	How does aging impact physical health?	0	Understand the physical effects of aging.
Aging	Does aging change who you are?	1	Looking for effects of aging, but it's unclear what aspect.
Aging	Is there a way to stay young?	1	Looking for a solution to reverse or slow aging, but it's unclear what is meant.
Aging	What are some risks when you get older?	1	Want to know about potential dangers with aging, but not specific.
Aging	What happens as you age?	1	Seeking general information about aging.
Aging	What happens to your body as you age?	1	Seeking general information about aging effects.
Allergies	What is anaphylaxis?	0	Understand a specific type of severe allergic reaction.
Allergies	How can I manage allergies at home?	0	Learn about self-management of allergies.
Allergies	What are the common symptoms of seasonal allergies?	0	Identify symptoms of seasonal allergies.
Allergies	What causes contact dermatitis?	0	Understand cause of specific type of allergy.
Allergies	What is the best treatment for severe food allergies?	0	Find treatment for severe food allergies.
Allergies	Do you have allergies?	1	Ask about own allergies without specifying type or severity.
Allergies	What is that thing that's bad?	1	Seeking information about a condition without specifying name.
Allergies	What's causing this reaction?	1	Seeking information about a specific reaction, but unclear about cause.
Allergies	Do I have allergies?	1	Diagnose potential allergies without specifying symptoms.
Allergies	Can you help me?	1	Seeking assistance without specifying what kind.
Art	What are the most expensive art pieces sold at auction?	0	Find information about high-priced art sales.
Art	What is the role of art in society?	0	Understand the cultural significance of art.
Art	Who was Vincent van Gogh?	0	Gather biographical information about the artist Vincent van Gogh.
Art	What famous artist is credited with the style of Cubism?	0	Find the originator of the Cubism art style.
Art	"Who created the famous painting ""The Starry Night""?"	0	"Identify the artist behind the painting ""The Starry Night""."
Art	What about art?	1	Seeking general information about art but intent is unclear.
Art	What do you like about art?	1	Expressed general appreciation for art but intent is unclear.
Art	What's the style of Cubism?	1	Seeking information about an art style but intent is unclear.
Art	Who created some art that I like?	1	Seeking a recommendation for an artist or style but it's not specific.
Art	I love that painting, can you tell me more?	1	Expressing admiration for a painting but not asking a specific question.
Banking	What are the benefits of online banking?	0	Learn about benefits of online banking.
Banking	What are the fees associated with bank overdrafts?	0	Understand fees for overdrafts.
Banking	How do I deposit money into my bank account?	0	Learn about depositing funds.
Banking	How do I cancel a direct debit from my bank account?	0	Learn about canceling direct debit.
Banking	What is the process of opening a business bank account?	0	Understand opening a business account.
Banking	Can I deposit money?	1	Seeking to deposit money, but it's unclear.
Banking	What do I need to open a bank account?	1	Seeking information about opening a bank account but not specific.
Banking	Can I get a loan?	1	Seeking to get a loan, but it's unclear.
Banking	Do I need a business account?	1	Seeking information about a business account but not specific.
Banking	Are there any bank fees?	1	Looking for information about bank fees but not specific.
Budgeting	How do I prioritize my expenses for the next quarter?	0	Create a prioritized expense list.
Budgeting	How do I track my expenses and stay within my budget?	0	Learn about expense tracking.
Budgeting	What are the benefits of using a budgeting app?	0	Understand the advantages of budgeting apps.
Budgeting	How do I create a monthly budget for my family of four?	0	Plan a family budget.
Budgeting	What are the steps to allocate my income for savings, expenses, and debt repayment?	0	Understand how to allocate income.
Budgeting	I want to be more financially organized	1	Seeking financial organization but intent is unclear.
Budgeting	I need to budget my money	1	Seeking help with budgeting but intent is unclear.
Budgeting	Can you give me some budgeting tips?	1	Seeking general budgeting advice but lack specific details.
Budgeting	Can you tell me something about budgeting?	1	Seeking general information about budgeting.
Budgeting	Can you explain how budgeting works?	1	Want to know about budgeting in general but lack specific details.
Celebrations	What are some common traditions during weddings in the United States?	0	Understand American wedding customs.
Celebrations	How do people celebrate their birthday in different countries?	0	Learn about unique birthday traditions worldwide.
Celebrations	How do different cultures celebrate the full moon?	0	Learn about various lunar celebrations around the world.
Celebrations	What are the key events during the Chinese New Year?	0	Understand the major events of Chinese New Year celebrations.
Celebrations	What are the most popular New Year's Eve celebrations worldwide?	0	Learn about popular New Year's Eve celebrations globally.
Celebrations	What's a wedding?	1	Looking for general information on weddings, but not specific to traditions in the U.S.
Celebrations	What are celebrations?	1	Seeking information on the topic of celebrations, but intent is unclear.
Celebrations	How do you celebrate your birthday?	1	Seeking general information on birthday celebrations, but intent is unclear.
Celebrations	What's the meaning of the full moon?	1	Seeking information on the full moon, but intent is unclear.
Celebrations	What's the Chinese New Year?	1	Looking for general information on Chinese New Year but not specific to key events.
Civics	What are the powers and limitations of a federal government?	0	Understand the role and limitations of a federal government.
Civics	What are the key components of a constitution?	0	Understand the basic structure of a constitution.
Civics	What are the requirements for a person to be a politician?	0	Learn about qualifications for holding public office.
Civics	How do citizens participate in a participatory democracy?	0	Understand methods of civic engagement.
Civics	What are the typical voting rights in a democratic country?	0	Learn about the rights of citizens in a democratic society.
Civics	What is the government?	1	Seeking information about a government but intent is vague.
Civics	Who becomes a politician?	1	Looking for information on how politicians are chosen but not specifying civic context.
Civics	How can people participate?	1	Looking for ways to participate but not specifying type of democracy or context.
Civics	What does voting do?	1	Looking for information on the purpose of voting but not clear on specifics.
Civics	What about constitutions?	1	Seeking information about a civic document but intent is unclear.
Cleaning	What are the most effective disinfectants for common germs?	0	Find out about recommended disinfectants for specific germs.
Cleaning	How to effectively clean and maintain outdoor furniture?	0	Information on outdoor furniture cleaning and maintenance.
Cleaning	What are the best cleaning products for hardwood floors?	0	Find out about recommended cleaning products for specific flooring.
Cleaning	What are the best cleaning routines for different surfaces?	0	Find out about recommended cleaning routines for specific surfaces.
Cleaning	How often should I vacuum my home?	0	Learn about optimal vacuuming frequency.
Cleaning	What products should I use?	1	Seeking cleaning product recommendations, but vague.
Cleaning	Do I need to vacuum my place?	1	Seeking advice on vacuuming but not specific.
Cleaning	I need help organizing my closet	1	Seeking assistance with organizing, but it's not specific.
Cleaning	What should I use to disinfect?	1	Seeking disinfectant recommendations, but vague.
Cleaning	I want to clean my furniture	1	Seeking assistance with furniture cleaning but unclear.
Clinic	How do I make an appointment at the clinic?	0	Arrange a consultation at the clinic.
Clinic	How do I contact the clinic about billing?	0	Resolve an issue with clinic billing.
Clinic	Can I get a second opinion at the clinic?	0	Learn about the clinic's second opinion policy.
Clinic	What vaccines does the clinic offer for children?	0	Identify vaccines available at the clinic for kids.
Clinic	What are the clinic's business hours?	0	Find out the clinic's schedule.
Clinic	Is the clinic good?	1	Looking for a general evaluation of the clinic.
Clinic	What's the clinic like?	1	Get an idea of the clinic, but not specific about what.
Clinic	What does the clinic do?	1	Want to know about the clinic's services, but not specific.
Clinic	What kind of doctors work here?	1	Gather information about the clinic staff, but not specific.
Clinic	What kind of place is it?	1	Form a general impression of the clinic.
Conservation	What is the role of government policies in conservation?	0	Learn about government policies affecting conservation.
Conservation	How do conservation efforts impact local ecosystems?	0	Understand the effects of conservation on ecosystems.
Conservation	What are some effective conservation strategies for endangered species?	0	Understand methods for protecting endangered species.
Conservation	What are the benefits of conservation for the economy?	0	Understand the economic benefits of conservation.
Conservation	What are the main threats to biodiversity loss?	0	Learn about the causes of biodiversity decline.
Conservation	What's happening to the environment?	1	Want to know about environmental issues but it's not specific to biodiversity.
Conservation	What's government doing?	1	Want to know about government actions, but it's not specific to conservation.
Conservation	How can we help the planet?	1	Looking for ways for individuals to help but not mentioning conservation directly.
Conservation	What's being done locally?	1	Looking for information about local actions, but it's not specific to conservation.
Conservation	Is conservation good for the economy?	1	Want to know about the economic impact of conservation but it's unclear.
Cooking	How long does it take to cook a chicken breast in the oven?	0	Learn cooking time for specific ingredient.
Cooking	What are the steps to make a simple salad?	0	Get instructions for a simple dish.
Cooking	How do I measure flour for baking?	0	Learn about accurate measurement in baking.
Cooking	What ingredients are needed for a basic vegetable stir-fry?	0	Find out ingredients for a simple dish.
Cooking	What is the best way to boil potatoes?	0	Find optimal method for cooking potatoes.
Cooking	How do I measure stuff?	1	Looking for measurement advice but unclear about what's being measured.
Cooking	Can I use that?	1	Seeking general information about a cooking method, not specifying the dish.
Cooking	How do I boil things?	1	Looking for general cooking advice but not specifying what to cook.
Cooking	What do I do with the greens?	1	Seeking cooking guidance but unclear about specific task.
Cooking	How long does it take?	1	Looking for cooking time but not specifying what to cook.
Creativity	What are the essential traits of a creative individual?	0	Learn about characteristics of creative people.
Creativity	What are the benefits of brainstorming in group settings?	0	Understand the advantages of group brainstorming for creative ideas.
Creativity	What are the key principles of creative problem-solving in art?	0	Learn about the process of creating innovative art.
Creativity	How do I stimulate my own creativity?	0	Learn strategies for boosting personal creativity.
Creativity	What are the role models of creative innovation in history?	0	Understand examples of historical creative innovators.
Creativity	What about being creative?	1	Seeking information about creativity but intent is unclear.
Creativity	Who are famous creative people?	1	Seeking information about famous people, but it's not specific to creativity.
Creativity	How can I get more ideas?	1	Looking for ways to generate more ideas but not specific about creativity.
Creativity	What makes someone creative?	1	Seeking information about creativity but intent is unclear.
Creativity	How do people get creative?	1	Looking for ways to foster creativity but vague on what's being asked.
Culture	How does cultural background affect a person's identity?	0	Understand the relationship between culture and personal identity.
Culture	What are the traditional values of Japanese culture?	0	Understand cultural values and practices in Japan.
Culture	What is the significance of festivals in Indian culture?	0	Learn about cultural festivals and their importance.
Culture	What role do music and dance play in African culture?	0	Learn about the significance of music and dance in African culture.
Culture	What are the characteristics of a multicultural society?	0	Understand the definition and implications of a multicultural society.
Culture	How do people identify?	1	Seeking information on how people identify themselves, but intent is unclear.
Culture	What is the culture?	1	Seeking information about culture but intent is unclear.
Culture	What makes people different?	1	Looking for reasons people have differences but not specifying what type of differences.
Culture	What about culture?	1	Seeking information about culture but intent is unclear.
Culture	What is different?	1	Looking for differences in culture but not specifying which cultures.
Cycling	What are the most popular types of cycling discipline?	0	Understand different types of cycling.
Cycling	What are the essential tools for bike repair?	0	Learn about necessary tools for bike maintenance.
Cycling	How do I prepare for a long-distance bike ride?	0	Understand training and preparation for a specific cycling goal.
Cycling	How do I properly maintain my bicycle chain?	0	Understand maintenance procedures for a specific bike component.
Cycling	What are the health benefits of cycling?	0	Understand advantages of cycling for health.
Cycling	What kinds of cycling exist?	1	Seeking information about cycling disciplines but it's unclear what the user is looking for.
Cycling	How can I stay safe while cycling?	1	Looking for safety advice but it's not clear in which context.
Cycling	What do I need to buy for my bike?	1	Seeking information about bike accessories but it's unclear what's needed.
Cycling	What do I need to fix my bike?	1	Seeking information about bike repair but it's unclear what specifically is needed.
Cycling	I'm trying to get in shape, should I cycle?	1	Seeking advice on exercise but it's not clear if cycling is the focus.
DIY	How do I stain and finish a wooden surface?	0	Understand the process for staining and finishing wood.
DIY	What tools do I need for a woodworking project?	0	Identify necessary tools for a woodworking project.
DIY	How do I make a simple table using reclaimed wood?	0	Understand instructions for making a table with reclaimed wood.
DIY	How do I build a basic wooden bookshelf?	0	Learn instructions for building a wooden bookshelf.
DIY	What is the process for creating a customized picture frame?	0	Learn instructions for making a customized picture frame.
DIY	What can I make from old wood?	1	Interested in creating something from old wood, but specifics are vague.
DIY	Can I make a project with hand tools only?	1	Interested in using hand tools, but project specifics are vague.
DIY	I want to make something with wood	1	Looking for DIY ideas involving wood but intent is unclear.
DIY	I want to create something for my home	1	Looking for a DIY project for the home, but specifics are unclear.
DIY	What about finishes?	1	Seeking information about finishes, but it's not clear what kind of project.
Devices	What type of wireless charging pad should I use for my phone?	0	Find a recommendation for a wireless charging pad.
Devices	What are the system requirements for playing the latest games?	0	Find out the computer requirements for gaming.
Devices	What is the best smartwatch for fitness tracking?	0	Find a recommendation for a fitness smartwatch.
Devices	What is the difference between 4K and 8K resolution?	0	Understand the difference between display resolutions.
Devices	What are the benefits of using a 5G network?	0	Learn about the advantages of 5G networks.
Devices	What kind of cars are out there?	1	Seeking information about cars but not specific to electric.
Devices	What is a good accessory for my phone?	1	Looking for a phone accessory, unclear what type.
Devices	What do I need for traveling?	1	Looking for travel accessories but unclear what type.
Devices	What kind of network should I use?	1	Seeking information about a network but not specific to 5G.
Devices	What can I use to charge my phone?	1	Looking for ways to charge a phone, unclear what method.
Diet	What foods are high in protein for a vegetarian diet?	0	Learn about protein sources for a specific diet.
Diet	How does a vegan diet affect the environment?	0	Understand the environmental impact of a specific diet.
Diet	What are the daily calorie requirements for weight loss?	0	Understand nutritional needs for weight loss.
Diet	What are the benefits of a Mediterranean diet?	0	Learn about the advantages of a specific diet.
Diet	What are the nutritional requirements for an athlete?	0	Learn about dietary needs for a specific group.
Diet	I want to eat healthy	1	Seeking dietary advice, but it's vague.
Diet	What should I be eating	1	Looking for dietary advice, but it's not specific.
Diet	Can you recommend some food	1	Looking for food suggestions, but it's not specific.
Diet	Can you give me some food suggestions	1	Looking for food suggestions, but it's not specific.
Diet	What foods do I need to eat	1	Seeking dietary advice, but it's vague.
Documentation	What are the benefits of documentation in software development?	0	Learn about the advantages of documentation in software development.
Documentation	How to create a documentation plan for a project?	0	Understand the process of creating a project documentation plan.
Documentation	What is the best documentation style for technical writing?	0	Learn about the most effective documentation style for technical writing.
Documentation	How to write a user manual?	0	Understand the process of writing a user manual.
Documentation	How to document APIs for developers?	0	Understand the process of documenting APIs for developers.
Documentation	What's the plan?	1	Looking for information about a plan but it's not specific.
Documentation	What are the benefits?	1	Seeking information about benefits but it's not specific.
Documentation	APIs	1	Seeking information about APIs but intent is unclear.
Documentation	Best documentation style	1	Seeking information about the best documentation style, but it's not specific enough.
Documentation	User manual	1	Seeking information about a user manual but intent is unclear.
Emergency	What are the emergency contact numbers I should have?	0	Find essential emergency contact information.
Emergency	How do I perform a first aid in case of an injury?	0	Learn basic first aid procedures.
Emergency	What should I do during a natural disaster?	0	Understand emergency procedures during natural disasters.
Emergency	What are the basic emergency response steps in a fire situation?	0	Learn emergency procedures in case of fire.
Emergency	Can you give me emergency numbers?	1	Looking for emergency contact information but not specifying what for.
Emergency	What's the emergency?	1	Seeking assistance or help in an unknown situation.
Emergency	What's the first thing I do in an emergency?	1	Seeking immediate response in an emergency situation.
Emergency	What happens in emergency?	1	Looking for general information about emergencies.
Emergency	What are the basic emergency response steps in a fire situation?	0	Learn emergency procedures in case of fire.
Emergency	How do I perform a first aid in case of an injury?	0	Learn basic first aid procedures.
Environment	What are the primary causes of pollution in our environment?	0	Identify sources of environmental pollution.
Environment	How do governments regulate environmental protection?	0	Find out about government policies on environmental protection.
Environment	What can individuals do to reduce waste in the environment?	0	Learn about actions to reduce waste.
Environment	How can companies contribute to sustainable environmental practices?	0	Find out about corporate environmental responsibility.
Environment	How does climate change affect ecosystems?	0	Understand the impact of climate change on ecosystems.
Environment	What's going on with the environment?	1	Want to know general information about the environment.
Environment	How can we help?	1	Looking for ways to help but not specifying the cause.
Environment	What is happening with our world?	1	Looking for general information but it's unclear what specifically.
Environment	How can we help the planet?	1	Looking for ways to help but not mentioning environment directly.
Environment	What's the current state of the environment?	1	Looking for general information about the environment but it's unclear what specifically.
Events	How do event planners manage logistics?	0	Learn about the organizational aspects of event management.
Events	What are the different types of events that occur in the financial sector?	0	Categorize various events in finance.
Events	What are the typical stages of event planning?	0	Understand the process of organizing an event.
Events	What are the primary benefits of attending events?	0	Understand advantages of attending events.
Events	What is the process of event promotion?	0	Learn about the marketing aspect of events.
Events	What does event planning involve?	1	Looking for general information about event planning.
Events	Are events important?	1	Seeking information about the importance of events but it's not specific.
Events	What do event planners do?	1	Seeking general information about event planners but not specific.
Events	Can you tell me about event planning?	1	Seeking general information about event planning.
Events	What happens at events?	1	Seeking information about events but intent is unclear.
Exercise	What are the best exercises for weight loss?	0	Find the most effective exercises for weight loss.
Exercise	What are the benefits of yoga for the body?	0	Understand physical benefits of yoga.
Exercise	How often should I stretch?	0	Understand optimal stretching frequency.
Exercise	What exercises improve core strength?	0	Learn about exercises for core strength.
Exercise	What exercises can I do at home?	0	Find exercises that can be done at home.
Exercise	What should I do to stay active?	1	Seeking information on staying active but intent is unclear.
Exercise	I'm looking for a workout routine	1	Seeking a workout routine but not specifying what kind.
Exercise	I want to exercise regularly	1	Looking to exercise regularly but no specific goal.
Exercise	I want to get stronger	1	Looking to improve strength but not specifying how.
Exercise	How often should I exercise?	1	Looking for general exercise frequency but unclear on context.
Family	What are some ways to build strong family relationships?	0	Learn about strategies for strengthening family bonds.
Family	Who are the members of my family?	0	Know the names and relationships of family members.
Family	What are the roles of family members in a family unit?	0	Learn about responsibilities and duties of family members.
Family	What is the ideal family size?	0	Understand typical family size and its implications.
Family	What is the structure of an average family?	0	Understand the typical composition of a family.
Family	What's good for the family?	1	Looking for benefits but not clear what aspect of family.
Family	How does a family work?	1	Want to know about family dynamics but it's not specific.
Family	What is my family?	1	Seeking information about family but intent is unclear.
Family	How many people are in a family?	1	Seeking information about family size but context is unclear.
Family	What about family?	1	Looking for information about family but vague on what aspect.
Food	How does gluten affect people with celiac disease?	0	Learn about the impact of gluten on celiac disease.
Food	What are common food allergens for children?	0	Learn about food allergens affecting children.
Food	How does food preservation affect nutritional value?	0	Understand the impact of food preservation on nutritional content.
Food	What is the definition of veganism?	0	Understand the concept of veganism.
Food	How does cooking time affect food texture?	0	Understand the relationship between cooking time and food texture.
Food	What's wrong with it?	1	Looking for information about gluten, but not specific.
Food	Does a Mediterranean diet work?	1	Want to know about the effectiveness of a diet but not mentioning specifics.
Food	Food preservation	1	Seeking information about food preservation but intent is unclear.
Food	Food	1	Seeking information about food but intent is unclear.
Food	What about allergies?	1	Looking for information about allergies but not specific to children or food.
Gardening	What are the best fertilizers for indoor plants?	0	Find out about suitable fertilizers for indoor plants.
Gardening	What is the optimal soil pH for tomato plants?	0	Understand ideal conditions for growing tomatoes.
Gardening	How do I choose the right gardening tools?	0	Learn about selecting suitable gardening tools.
Gardening	What are the benefits of companion planting?	0	Learn about advantages of companion planting.
Gardening	How do I properly prune a rose bush?	0	Learn about pruning techniques for rose bushes.
Gardening	What does a garden look like?	1	Seeking a visual description of a garden, but it's not specific to gardening.
Gardening	What do I do with my garden?	1	Seeking general guidance for gardening, but it's not specific.
Gardening	My plant is sick	1	Seeking help for a plant problem, but details are vague.
Gardening	Is my plant doing well?	1	Seeking reassurance about plant health, but it's not specific.
Gardening	I need to make my garden grow	1	Seeking gardening advice but intent is unclear.
Hobbies	What are the benefits of gardening?	0	Understand the advantages of gardening.
Hobbies	What are the most popular board games?	0	Understand popular board games.
Hobbies	What are the best outdoor hobbies for hot weather?	0	Learn about outdoor hobbies for warm climates.
Hobbies	What are the most popular team sports?	0	Understand popular team sports.
Hobbies	How do I get started with writing a book?	0	Learn the steps to begin writing a book.
Hobbies	I want to do something fun outdoors this summer	1	Looking for an idea for an outdoor activity this summer.
Hobbies	I want something fun to do at home	1	Seeking an idea for a fun activity at home.
Hobbies	What are hobbies?	1	Seeking a definition of hobbies.
Hobbies	I want to grow something	1	Looking for an idea for a project to grow something.
Hobbies	I want to improve my skills at something	1	Seeking ways to improve skills but not specific.
Hydration	What is the best type of water to drink for hydration?	0	Learn about hydration options for best water choice.
Hydration	How does caffeine affect hydration levels?	0	Understand relationship between caffeine and hydration.
Hydration	What are the daily water intake recommendations for an adult?	0	Understand recommended hydration levels.
Hydration	How does dehydration affect athletic performance?	0	Understand impact of dehydration on physical activity.
Hydration	What is the ideal temperature for storing water?	0	Learn about optimal water storage conditions.
Hydration	Can I store water outside?	1	Want to know about storing water, but storage location is unclear.
Hydration	What should I drink?	1	Looking for hydration-related advice but vague on specifics.
Hydration	What happens when you get sick?	1	Seeking general health information, but dehydration-related context is unclear.
Hydration	What kind of water is healthy?	1	Looking for information about water health benefits, but unclear about what makes water healthy.
Hydration	What is good for me?	1	Seeking health advice, but unclear about specific area of interest.
Hygiene	What are the different types of toothbrushes used for oral hygiene?	0	Identify various types of toothbrushes for oral care.
Hygiene	What are some tips for a good oral health routine?	0	Learn about oral health best practices.
Hygiene	What are the health benefits of regular showering?	0	Learn about the advantages of regular showering.
Hygiene	What is the proper way to wash hands with soap?	0	Understand the correct handwashing technique.
Hygiene	How can I maintain personal hygiene while traveling?	0	Learn about travel hygiene practices.
Hygiene	What do I need to do with my teeth?	1	Seeking information about oral hygiene but intent is unclear.
Hygiene	I'm on the road, what do I do?	1	Seeking information about personal hygiene while traveling but it's not specific.
Hygiene	How do I take care of my teeth?	1	Looking for oral health advice but the intent is vague.
Hygiene	Is it okay if I don't shower for a day?	1	Seeking information about showering habits, but intent is unclear.
