topic	initial_request	binary_label	user_information_need
Activism	What are the most effective strategies for environmental activism?	0	Learn effective strategies for environmental activism.
Activism	How do you do activism?	1	Seek general guidance about activism without specifying type or strategy.
Activism	Who are some influential civil rights activists in history?	0	Find information about notable civil rights activists.
Activism	Who are leaders in activism?	1	Look for leaders in activism without specifying a cause or movement.
Activism	How can I organize a local community protest?	0	Get instructions on organizing a local community protest.
Activism	What about protests?	1	Seek information related to protests in a very general or unclear way.
Activism	What impact has digital activism had on social movements?	0	Understand the effects of digital activism on social movements.
Activism	Does activism work online?	1	Ask vaguely about the effectiveness of online activism.
Activism	What laws protect activists from retaliation?	0	Identify legal protections available for activists.
Activism	Are activists safe?	1	Inquire generally about activist safety without specifics on legal context.
Aging	What are the common signs of aging in adults?	0	Identify physical and cognitive changes associated with aging.
Aging	What happens as people get older?	1	Seek general information about aging without specifying details.
Aging	How can aging be slowed down or managed effectively?	0	Find strategies to delay or cope with the effects of aging.
Aging	Can aging be prevented?	1	Inquiry about aging with unclear focus on prevention or management.
Aging	What health risks increase with aging?	0	Understand diseases and conditions more common in elderly populations.
Aging	Is aging bad for health?	1	Ambiguous question about health implications of aging.
Aging	What lifestyle changes support healthy aging?	0	Learn about habits that promote well-being in older age.
Aging	How to live better when old?	1	Vague question on improving life in old age without specifics.
Aging	How does aging affect the brain and memory?	0	Explore cognitive decline and memory issues linked to aging.
Aging	Does aging make you forgetful?	1	General question about aging and memory with unclear depth.
Allergies	What are the common symptoms of seasonal allergies?	0	Identify symptoms related to seasonal allergies.
Allergies	What symptoms do allergies have?	1	Seeking symptoms related to allergies but not specified.
Allergies	How can allergies be effectively treated?	0	Find effective treatment options for allergies.
Allergies	How do I fix allergies?	1	Looking for ways to address allergies but unclear about treatment type.
Allergies	What foods commonly cause allergic reactions?	0	Identify foods that frequently trigger allergies.
Allergies	Which foods are bad for you if you have allergies?	1	Inquiring about problematic foods in general but vague intent.
Allergies	How can I prevent allergic reactions to pet dander?	0	Learn prevention methods for allergies caused by pet dander.
Allergies	What about allergies and pets?	1	Seeking information related to allergies and pets but unclear focus.
Allergies	What tests diagnose different types of allergies?	0	Find diagnostic tests for various allergy types.
Allergies	How do they check for allergies?	1	Inquiring about allergy testing generally without specific details.
Appointments	How can I schedule a medical appointment online?	0	Understand how to book a medical appointment via online platforms.
Appointments	Can I book an appointment?	1	Unclear if this refers to medical, business, or other types of appointments.
Appointments	What documents do I need to bring to a visa appointment?	0	Identify required documents for attending a visa appointment.
Appointments	What do I need for my appointment?	1	Uncertain about the type of appointment and necessary preparations.
Appointments	How do I cancel or reschedule a dentist appointment?	0	Learn the procedure for canceling or changing a dental appointment.
Appointments	Can I change my appointment?	1	Vague about which appointment or how to change it.
Appointments	What are the available time slots for a job interview appointment next week?	0	Find out specific time options for scheduling a job interview appointment.
Appointments	When is my appointment?	1	Asking about appointment timing but no details on which appointment.
Appointments	How to prepare for a counseling appointment?	0	Seek guidance on preparations needed for a counseling session.
Appointments	What about my appointment?	1	Very vague and could refer to any aspect of an appointment.
Art	What are the major art movements in the 20th century?	0	Learn about key art movements during the 20th century.
Art	Tell me about art history.	1	Seeking general information on art history but unclear on specifics.
Art	How can I start learning to paint with acrylics?	0	Get guidance on beginning acrylic painting techniques.
Art	Can you help me with art?	1	Requesting help related to art but purpose is vague.
Art	What are effective techniques for drawing portraits?	0	Discover techniques specifically for portrait drawing.
Art	How do I draw?	1	Looking for drawing advice but the type or style is not specified.
Art	Where can I find art galleries near me?	0	Locate nearby art galleries to visit.
Art	Where is art?	1	Asking about art location without clear context or detail.
Art	Who are some famous contemporary artists?	0	Identify notable artists in the contemporary art scene.
Art	Tell me about some artists.	1	Want information about artists but unspecified which ones or era.
Banking	What are the steps to open a savings account at a bank?	0	Understand the process to open a savings account.
Banking	How do I start banking?	1	Seeking general information about beginning banking, unclear specifics.
Banking	What are the interest rates for home loans at major banks?	0	Find out current home loan interest rates offered by banks.
Banking	Can I get a loan from a bank?	1	Inquiring about getting a loan but ambiguous about type or details.
Banking	How do I transfer money internationally through my bank?	0	Learn the procedure for international money transfers.
Banking	How do I send money abroad?	1	Want to send money internationally but unclear on method or details.
Banking	What security features protect online banking accounts?	0	Understand security measures for protecting online banking.
Banking	Is online banking safe?	1	Questioning safety of online banking without specific security aspects.
Banking	How can I dispute a fraudulent transaction on my bank statement?	0	Find out how to report and resolve fraudulent transactions.
Banking	My bank charges are wrong, what do I do?	1	Complaint or query about bank charges with unclear resolution steps.
Budgeting	How do I create a monthly budget that balances income and expenses?	0	Understand how to create a detailed monthly budget.
Budgeting	Can you tell me about budgeting?	1	Seeking information about budgeting but intent is unclear.
Budgeting	What are common budgeting methods and which is best?	0	Learn about different budgeting techniques and how to choose one.
Budgeting	What is the best way to budget?	1	Looking for budgeting advice but lacks specifics on method or criteria.
Budgeting	How can I reduce expenses to save more money each month?	0	Find ways to cut costs and increase savings within a budget.
Budgeting	How do I manage my money better?	1	Desire to improve financial management but query is vague.
Budgeting	What tools or apps are recommended for tracking a personal budget?	0	Identify useful applications and tools for budgeting.
Budgeting	Are there any good apps for budgeting?	1	Interested in budgeting apps but without clear requirement or context.
Budgeting	How do I adjust my budget after an unexpected expense?	0	Learn to modify budget allocations in response to unforeseen costs.
