topic	initial_request	binary_label	user_information_need
Activism	What are effective strategies for grassroots activism?	0	Discover ways to organize grassroots movements effectively.
Activism	How can I get involved in activism?	0	Find out how to participate in activism activities.
Activism	What are the main goals of activist groups?	0	Understand the objectives of various activist organizations.
Activism	Why do people participate in activism?	1	Seek reasons behind activism participation without specifics.
Activism	How does activism influence policy change?	0	Explore the impact of activism on creating policy changes.
Activism	Can activism lead to social change?	1	Investigate whether activism causes social transformations in general.
Activism	What tools do activists use to organize?	0	Identify common tools and methods used in activism efforts.
Activism	How do activism campaigns work?	1	Understand the workings of campaigns related to activism, vaguely.
Activism	What are examples of successful activism movements?	0	Look for specific examples of effective activism campaigns.
Activism	How do activism movements start?	1	Seek information on the beginnings of activism movements in a broad sense.
Aging	What are the health benefits of regular exercise for the elderly?	0	Identify benefits of exercise for aging individuals.
Aging	Can exercise help?	1	Seeking general information about exercise and aging, but vague.
Aging	What are effective skincare routines for aging skin?	0	Find skincare advice suitable for aging skin.
Aging	How can skin care help?	1	Looking for skincare tips related to aging, but imprecise.
Aging	What are the best nutritional supplements for seniors?	0	Discover recommended supplements for elderly health.
Aging	Are supplements good?	1	Seeking info on supplements, with unclear focus on aging.
Aging	What procedures are available for cosmetic anti-aging treatments?	0	Explore anti-aging cosmetic procedures.
Aging	Are procedures enough?	1	General question about anti-aging treatments without specifics.
Aging	How does aging affect memory and cognition?	0	Understand cognitive changes with aging.
Aging	Does aging impact mind?	1	Seeking information on aging and mental function, but vague.
Allergies	What are common symptoms of pollen allergy?	0	Understand typical pollen allergy symptoms.
Allergies	Can allergies cause headaches?	0	Ascertain if allergies can lead to headaches.
Allergies	What foods should I avoid if I have food allergies?	0	Identify foods to avoid with food allergies.
Allergies	How can I treat allergy symptoms?	0	Find treatments for allergy symptoms.
Allergies	Are allergies hereditary?	0	Determine if allergies are inherited.
Allergies	What might cause allergic reactions?	1	Seeking causes of allergic reactions, but not specific.
Allergies	Can certain environments trigger allergies?	1	Want to know if environments cause allergies, vague.
Allergies	Why do some people develop allergies later in life?	1	Investigate reasons for adult-onset allergies in a broad sense.
Allergies	How do I know if I have allergies?	1	General question about identifying allergies, not specific.
Allergies	Can allergies be permanent?	1	Want to understand if allergies can last forever, vague.
Appointments	When is my next appointment scheduled?	0	Find out the date and time of the upcoming appointment.
Appointments	Can I see my upcoming appointments?	1	Get a list of all upcoming appointments without specific details.
Appointments	How do I cancel an appointment?	0	Obtain instructions on canceling a scheduled appointment.
Appointments	What's the process for changing my appointment?	1	Inquire about how to adjust or reschedule an appointment.
