topic	initial_request	binary_label	user_information_need
Activism    What are the main goals of activism?    0    Understand the primary objectives of activism.
Activism    What's the point of activism?    1    Seeking information about activism but intent is unclear.
Activism    How do activists organize protests?    0    Learn about the process of organizing protests.
Activism    Do activists do stuff?    1    Looking for information on activist actions, but vague on what kind.
Activism    What are the most effective activism strategies?    0    Find out about successful activism approaches.
Activism    Is activism effective?    1    Want to know about the impact of activism, but it's not specific.
Activism    How can individuals get involved in activism?    0    Learn about ways for individuals to participate in activism.
Activism    How can people make a difference?    1    Looking for ways for individuals to make an impact, but not mentioning activism directly.
Activism    What are the key challenges faced by activists?    0    Understand the obstacles faced by activists.
Activism    What's hard about being an activist?    1    Seeking information on challenges related to activism, but it's unclear what.
Aging	What are the physical effects of aging on the human body?	0	User seeking knowledge on physical changes due to aging.
Aging	What happens when you get old?	1	User inquiring about aging but lacks specificity.
Aging	How can aging be slowed down through lifestyle changes?	0	User looking for methods to slow aging through lifestyle.
Aging	Is there a way to stop getting older?	1	User seeking to halt aging but method is unclear.
Aging	What are the common health issues associated with aging?	0	User wants to know common age-related health problems.
Aging	Do older people get sick more often?	1	User asking about health and age correlation but vaguely.
Aging	At what age do most people start experiencing significant effects of aging?	0	User seeking specific age for noticeable aging effects.
Aging	When do people start getting old?	1	User inquiring about the onset of aging but lacks clarity.
Aging	How does aging affect cognitive function over time?	0	User seeking information on aging's impact on cognition.
Aging	Does aging affect your brain?	1	User asking about aging's effect on the brain but is imprecise.
Allergies    What are common allergy symptoms?    0    Identify typical symptoms of allergies.
Allergies    What's wrong with me?    1    Unclear what the user is experiencing or referring to.
Allergies    How are allergies diagnosed?    0    Learn about the process of diagnosing allergies.
Allergies    Can they figure out what's causing it?    1    Looking for a method to determine the cause, but vague.
Allergies    What are the most common food allergies?    0    Find out about prevalent food allergies.
Allergies    What foods are bad for people?    1    Seeking information on harmful foods, but not specific to allergies.
Allergies    How can allergies be treated?    0    Understand available treatments for allergies.
Allergies    Is there a way to make it better?    1    Looking for a solution, but it's unclear what the issue is.
Allergies    What are the differences between food intolerance and allergy?    0    Learn about the distinction between intolerance and allergy.
Allergies    What's the difference between being intolerant and allergic?    1    Seeking clarification on a specific health topic, but not clearly stated.
Appointments    What is the process for scheduling an appointment?    0    Understand how to book an appointment.
Appointments    How do I make an appointment or something?    1    Seeking to schedule but method and context are unclear.
Appointments    Can I reschedule my existing appointment?    0    Learn about changing an already booked appointment.
Appointments    What if I need to change something?    1    Want to alter a scheduled appointment but details are vague.
Appointments    How far in advance can I book an appointment?    0    Find out about the advance booking policy.
Appointments    Is there a limit to booking ahead?    1    Looking for information on advance booking limits but not specific.
Appointments    What are the typical hours for appointments?    0    Learn about standard appointment hours.
Appointments    When are they usually available?    1    Seeking general availability but lacks specificity.
Appointments    Can I cancel my appointment online?    0    Understand the process for canceling an appointment.
Appointments    How do I stop an appointment from happening?    1    Want to cancel but method and platform are unclear.
Art    What are the main styles of modern art?    0    Understand contemporary art movements.
Art    What about modern art?    1    Seeking information about modern art but intent is unclear.
Art    How does art influence culture?    0    Learn about the impact of art on society.
Art    Does art make things different?    1    Looking for effects of art but vague on what kind.
Art    What are the most famous art pieces of all time?    0    Find out about notable artworks.
Art    What is good art?    1    Want to know about quality in art, but it's not specific.
Art    What are individual interpretations of abstract art?    0    Learn about personal understandings of abstract art.
Art    How can people understand art?    1    Looking for ways to comprehend art but not specific on the approach.
Art    How is art preserved over time?    0    Understand methodologies for conserving artworks.
Art    How do they keep old art?    1    Seeking information on preserving something old, but it's unclear what.
Banking	What are the current interest rates for savings accounts?	0	User seeking specific banking information on interest rates.
Banking	What's the deal with banking?	1	User looking for general information about banking but lacks clarity.
Banking	How do I open a new bank account online?	0	User needs step-by-step guide on opening a bank account online.
Banking	Can you bank online?	1	User inquiring about online banking capabilities without specifics.
Banking	What are the fees associated with using an ATM?	0	User wants to know about ATM fees.
Banking	Are there fees for using machines?	1	User asking about fees but does not specify what kind of machines.
Banking	How can I transfer money between accounts?	0	User seeking instructions on transferring funds.
Banking	How do you move money around?	1	User looking to transfer money but method is unclear.
Banking	What are the benefits of having a credit card?	0	User wants to know advantages of using a credit card.
Banking	Is having a card a good thing?	1	User inquiring about potential benefits of a card but lacks specificity.
Budgeting    What is the 50/30/20 rule for budgeting?    0    Understand the basic allocation of income for budgeting.
Budgeting    How do people budget?    1    Seeking general information on budgeting but lacks specificity.
Budgeting    How can I create a personal budget?    0    Learn about the process of making a personal budget.
Budgeting    What's the deal with budgeting?    1    Looking for information on budgeting but the intent is unclear.
Budgeting    What are some common budgeting mistakes to avoid?    0    Identify typical errors in budgeting to prevent financial issues.
Budgeting    Are there mistakes people make?    1    Want to know about potential pitfalls but it's vague.
Budgeting    How does budgeting affect credit scores?    0    Understand the relationship between budgeting and credit scores.
Budgeting    Does budgeting help with credit?    1    Seeking connection between budgeting and credit but lacks clarity.
Budgeting    What budgeting tools are available online?    0    Find out about online resources for budgeting.
Budgeting    Are there tools to help?    1    Looking for assistance with budgeting but doesn't specify what kind.
Bureaucracy    What are the key characteristics of bureaucracy?    0    Understand the fundamental traits of bureaucracy.
Bureaucracy    What's the deal with bureaucracy?    1    Seeking information about bureaucracy but intent is unclear.
Bureaucracy    How does bureaucracy impact organizational efficiency?    0    Learn about the effects of bureaucracy on organizational performance.
Bureaucracy    Is bureaucracy good or bad?    1    Looking for an evaluation of bureaucracy but lacks specificity.
Bureaucracy    What are the advantages of bureaucratic systems?    0    Find out about the benefits of bureaucracy.
Bureaucracy    What's good about it?    1    Want to know about positive aspects, but it's not specific to bureaucracy.
Bureaucracy    How can bureaucracy be reformed or improved?    0    Learn about methods for reforming or enhancing bureaucratic systems.
Bureaucracy    Can it be fixed?    1    Looking for solutions to problems, but it's unclear what problems or context.
Bureaucracy    What role does bureaucracy play in public policy implementation?    0    Understand the function of bureaucracy in policy execution.
Bureaucracy    How does it affect things?    1    Seeking information on the impact of bureaucracy, but it's vague.
Celebrations    What are traditional wedding celebration practices?    0    Learn about common wedding celebration customs.
Celebrations    What's the deal with weddings?    1    Seeking information about weddings but intent is unclear.
Celebrations    How do people typically celebrate birthdays?    0    Understand common birthday celebration practices.
Celebrations    Do people still have birthday parties?    1    Looking for information on birthday celebrations but vague on what kind.
Celebrations    What are unique ways to celebrate anniversaries?    0    Find out about creative anniversary celebration ideas.
Celebrations    What can you do for anniversaries?    1    Want to know about anniversary activities, but it's not specific.
Celebrations    What cultural celebrations occur during holidays?    0    Learn about cultural holiday celebrations.
Celebrations    Are there any fun holidays?    1    Looking for enjoyable holidays but not specifying what kind.
Celebrations    How are graduations typically celebrated?    0    Understand common graduation celebration practices.
Celebrations    What happens at graduations?    1    Seeking information on graduation events, but it's unclear what.
Civics    What are the fundamental principles of civics?    0    Understand core concepts of civics.
Civics    What's civics about?    1    Seeking information about civics but intent is unclear.
Civics    How do civics influence community development?    0    Learn about the role of civics in community development.
Civics    Is civics important for communities?    1    Looking for the significance of civics but vague on how.
Civics    What are the key components of civics education?    0    Find out about essential elements of civics education.
Civics    What do they teach in civics classes?    1    Want to know about civics curriculum, but it's not specific.
Civics    How can civics promote social responsibility?    0    Learn about the impact of civics on social responsibility.
Civics    Can civics make a difference?    1    Looking for effects of civics but vague on what kind.
Civics    What are the historical roots of civics?    0    Understand the origins and evolution of civics.
Civics    Where did civics come from?    1    Seeking information on the background of civics but not specific.
Cleaning    What are the best methods for cleaning hardwood floors?    0    Learn about effective hardwood floor cleaning techniques.
Cleaning    How to make floors clean?    1    Seeking information on floor cleaning but method is unclear.
Cleaning    What cleaning products are safe for pets?    0    Find out about pet-safe cleaning products.
Cleaning    What can I use that's not bad for animals?    1    Looking for pet-friendly cleaning options but vague on what.
Cleaning    How often should I clean my refrigerator?    0    Understand the recommended frequency for cleaning refrigerators.
Cleaning    How often should I clean things in the kitchen?    1    Want to know about cleaning frequency in the kitchen but it's not specific.
Cleaning    What are some natural cleaning solutions?    0    Learn about non-chemical cleaning alternatives.
Cleaning    Are there ways to clean without chemicals?    1    Seeking information on non-chemical cleaning but not specific on solutions.
Cleaning    How do I remove stubborn stains from carpets?    0    Find out about methods for removing tough carpet stains.
Cleaning    How do you get rid of tough stains?    1    Looking for stain removal methods but not specific on surface or type.
Clinic    What services are offered at a Clinic?    0    Learn about services provided by Clinic.
Clinic    What's up with Clinic?    1    Seeking general information about Clinic but unclear what is sought.
Clinic    How do I schedule an appointment at Clinic?    0    Find out how to book an appointment.
Clinic    Can I get an appointment?    1    Looking to book but doesn't specify with Clinic or the process.
Clinic    What are Clinic's hours of operation?    0    Know the operating hours of Clinic.
Clinic    Is Clinic open now?    1    Want to know if Clinic is open but doesn't specify time or day.
Clinic    How do I contact Clinic for billing questions?    0    Understand how to reach out for billing inquiries.
Clinic    How do I ask them something?    1    Seeking to ask a question but doesn't specify the topic or method.
Clinic    What insurance plans does Clinic accept?    0    Learn about accepted insurance plans at Clinic.
Clinic    Do they take my insurance?    1    Want to know if insurance is accepted but doesn't specify which one.
Clothing	What are the different types of clothing fabrics?	0	User seeking knowledge about clothing materials.
Clothing	What's the deal with clothes?	1	User looking for information about clothing but intent is unclear.
Clothing	How to choose the right clothing size?	0	User needs guidance on selecting appropriate clothing size.
Clothing	How do I pick something that fits?	1	User seeking help with clothing fit but query is vague.
Clothing	What are the current fashion trends in clothing?	0	User wants to know about current clothing fashion trends.
Clothing	What's in style now?	1	User looking for information on current styles but not specific to clothing.
Clothing	How to care for different types of clothing?	0	User needs information on clothing care and maintenance.
Clothing	How do I wash this?	1	User seeking washing instructions but unclear about the type of clothing.
Clothing	What are the best clothing brands for outdoor activities?	0	User looking for recommendations on outdoor clothing brands.
Clothing	What should I wear outside?	1	User seeking advice on outdoor clothing but query is imprecise.
Communication    What are the most effective ways to communicate in a team?    0    Learn about team communication strategies.
Communication    How do people talk to each other?    1    Seeking general information about communication but unclear on context.
Communication    What are the key elements of nonverbal communication?    0    Understand nonverbal communication components.
Communication    Is body language a thing?    1    Looking for information on nonverbal cues but phrased vaguely.
Communication    How can I improve my public speaking skills?    0    Find ways to enhance public speaking abilities.
Communication    Can people get better at talking in front of crowds?    1    Want to improve public speaking, but the query is imprecise.
Communication    What role does empathy play in effective communication?    0    Learn about empathy's role in communication.
Communication    Does being nice help when talking to people?    1    Seeking information on the impact of being nice on communication, but it's vague.
Communication    How can active listening improve relationships?    0    Understand the benefits of active listening in relationships.
Communication    Is hearing people out important?    1    Looking for information on listening importance but not specific on benefits or context.
Commuting	What are the benefits of commuting by bike?	0	Understand advantages of cycling to work.
Commuting	What about commuting?	1	Seeking general information on commuting but intent is unclear.
Commuting	How can I reduce my commuting time?	0	Learn about ways to decrease travel time to work.
Commuting	Is commuting bad?	1	Looking for negative aspects of commuting but question is vague.
